Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-04-14 11:43,XL,25872,1,51528.5,214.5,0.42,215,0.42,-44.5,-0.09,214.5,0.86,92
1,Entry long,2026-04-14 10:11,Long,25764.25,1,51528.5,214.5,0.42,215,0.42,-44.5,-0.09,214.5,0.86,92
2,Exit long,2026-04-16 15:56,Flat 15:55,26480.25,1,52908,51.5,0.10,217,0.41,-198.5,-0.38,266,1.06,288
2,Entry long,2026-04-16 11:08,Long,26454,1,52908,51.5,0.10,217,0.41,-198.5,-0.38,266,1.06,288
3,Exit long,2026-04-17 10:49,XL,26848.75,1,53498,198.5,0.37,199,0.37,-100.5,-0.19,464.5,1.86,48
3,Entry long,2026-04-17 10:01,Long,26749,1,53498,198.5,0.37,199,0.37,-100.5,-0.19,464.5,1.86,48
4,Exit long,2026-04-21 11:00,XL,26725.75,1,53690.5,-240,-0.45,79,0.15,-239.5,-0.45,224.5,0.90,59
4,Entry long,2026-04-21 10:01,Long,26845.25,1,53690.5,-240,-0.45,79,0.15,-239.5,-0.45,224.5,0.90,59
5,Exit long,2026-04-23 13:09,XL,26963.5,1,54206,-280,-0.52,105.5,0.19,-279.5,-0.52,-55.5,-0.22,132
5,Entry long,2026-04-23 10:57,Long,27103,1,54206,-280,-0.52,105.5,0.19,-279.5,-0.52,-55.5,-0.22,132
6,Exit long,2026-04-24 11:44,XL,27390.75,1,54521.5,259,0.48,259.5,0.48,-188.5,-0.35,203.5,0.81,92
6,Entry long,2026-04-24 10:12,Long,27260.75,1,54521.5,259,0.48,259.5,0.48,-188.5,-0.35,203.5,0.81,92
7,Exit long,2026-04-29 15:56,Flat 15:55,27302.75,1,54475.5,129,0.24,200.5,0.37,-170,-0.31,332.5,1.33,333
7,Entry long,2026-04-29 10:23,Long,27237.75,1,54475.5,129,0.24,200.5,0.37,-170,-0.31,332.5,1.33,333
8,Exit long,2026-05-05 15:56,Flat 15:55,28115.5,1,56225,5,0.01,152.5,0.27,-82.5,-0.15,337.5,1.35,332
8,Entry long,2026-05-05 10:24,Long,28112.5,1,56225,5,0.01,152.5,0.27,-82.5,-0.15,337.5,1.35,332
9,Exit long,2026-05-06 15:13,XL,28675.75,1,57013,337.5,0.59,338,0.59,-6.5,-0.01,675,2.70,273
9,Entry long,2026-05-06 10:40,Long,28506.5,1,57013,337.5,0.59,338,0.59,-6.5,-0.01,675,2.70,273
10,Exit long,2026-05-07 10:39,XL,28897.75,1,57606.5,188,0.33,188.5,0.33,-14,-0.02,863,3.45,35
10,Entry long,2026-05-07 10:04,Long,28803.25,1,57606.5,188,0.33,188.5,0.33,-14,-0.02,863,3.45,35
11,Exit long,2026-05-13 14:13,XL,29503.5,1,58579.5,426.5,0.73,427,0.73,-17,-0.03,1289.5,5.16,201
11,Entry long,2026-05-13 10:52,Long,29289.75,1,58579.5,426.5,0.73,427,0.73,-17,-0.03,1289.5,5.16,201
12,Exit long,2026-05-14 15:56,Flat 15:55,29696,1,59370.5,20.5,0.03,196.5,0.33,-180.5,-0.30,1310,5.24,316
12,Entry long,2026-05-14 10:40,Long,29685.25,1,59370.5,20.5,0.03,196.5,0.33,-180.5,-0.30,1310,5.24,316
13,Exit long,2026-05-15 15:56,Flat 15:55,29222.5,1,58584.5,-140.5,-0.24,389,0.66,-169,-0.29,1169.5,4.68,343
13,Entry long,2026-05-15 10:13,Long,29292.25,1,58584.5,-140.5,-0.24,389,0.66,-169,-0.29,1169.5,4.68,343
14,Exit long,2026-05-20 11:16,XL,29368,1,58391.5,343.5,0.59,344,0.59,-158.5,-0.27,1513,6.05,60
14,Entry long,2026-05-20 10:16,Long,29195.75,1,58391.5,343.5,0.59,344,0.59,-158.5,-0.27,1513,6.05,60
15,Exit long,2026-05-21 10:20,XL,29171.75,1,58630.5,-288,-0.49,46.5,0.08,-287.5,-0.49,1225,4.90,19
15,Entry long,2026-05-21 10:01,Long,29315.25,1,58630.5,-288,-0.49,46.5,0.08,-287.5,-0.49,1225,4.90,19
16,Exit long,2026-05-26 15:56,Flat 15:55,30093,1,60016,169,0.28,221.5,0.37,-245.5,-0.41,1394,5.58,355
