2026-07-11 21:59:12 INFO    run_phase15 | MNQ: 9 WF folds
2026-07-11 21:59:12 INFO    run_phase15 | === Phase 15 mnq/mnq_fvg_1m (48 combos, 1m) ===
2026-07-11 21:59:16 INFO    src.backtest.engine | fvg_scalp: 522 trades, 131 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:16 INFO    src.validation.walk_forward | grid 1/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 522 trades, net $-2448
2026-07-11 21:59:19 INFO    src.backtest.engine | fvg_scalp: 365 trades, 90 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:19 INFO    src.validation.walk_forward | grid 2/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 365 trades, net $-1612
2026-07-11 21:59:23 INFO    src.backtest.engine | fvg_scalp: 593 trades, 137 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:23 INFO    src.validation.walk_forward | grid 3/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 593 trades, net $-2484
2026-07-11 21:59:26 INFO    src.backtest.engine | fvg_scalp: 425 trades, 98 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:26 INFO    src.validation.walk_forward | grid 4/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 425 trades, net $-1869
2026-07-11 21:59:30 INFO    src.backtest.engine | fvg_scalp: 521 trades, 121 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:30 INFO    src.validation.walk_forward | grid 5/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 521 trades, net $-2327
2026-07-11 21:59:33 INFO    src.backtest.engine | fvg_scalp: 364 trades, 84 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:33 INFO    src.validation.walk_forward | grid 6/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 364 trades, net $-1853
2026-07-11 21:59:37 INFO    src.backtest.engine | fvg_scalp: 592 trades, 126 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:37 INFO    src.validation.walk_forward | grid 7/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 592 trades, net $-2311
2026-07-11 21:59:41 INFO    src.backtest.engine | fvg_scalp: 424 trades, 91 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:41 INFO    src.validation.walk_forward | grid 8/48 {'min_gap_points': 25.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 424 trades, net $-2071
2026-07-11 21:59:44 INFO    src.backtest.engine | fvg_scalp: 522 trades, 86 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:44 INFO    src.validation.walk_forward | grid 9/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 522 trades, net $-1824
2026-07-11 21:59:48 INFO    src.backtest.engine | fvg_scalp: 365 trades, 62 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:48 INFO    src.validation.walk_forward | grid 10/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 365 trades, net $-1188
2026-07-11 21:59:51 INFO    src.backtest.engine | fvg_scalp: 593 trades, 90 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:51 INFO    src.validation.walk_forward | grid 11/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 593 trades, net $-1824
2026-07-11 21:59:55 INFO    src.backtest.engine | fvg_scalp: 425 trades, 67 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:55 INFO    src.validation.walk_forward | grid 12/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 425 trades, net $-1537
2026-07-11 21:59:59 INFO    src.backtest.engine | fvg_scalp: 521 trades, 80 ambiguous bars, 0 forced session-end exits
2026-07-11 21:59:59 INFO    src.validation.walk_forward | grid 13/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 521 trades, net $-2442
2026-07-11 22:00:02 INFO    src.backtest.engine | fvg_scalp: 364 trades, 57 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:02 INFO    src.validation.walk_forward | grid 14/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 364 trades, net $-2105
2026-07-11 22:00:06 INFO    src.backtest.engine | fvg_scalp: 592 trades, 84 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:06 INFO    src.validation.walk_forward | grid 15/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 592 trades, net $-2619
2026-07-11 22:00:10 INFO    src.backtest.engine | fvg_scalp: 424 trades, 62 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:10 INFO    src.validation.walk_forward | grid 16/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 424 trades, net $-2548
2026-07-11 22:00:13 INFO    src.backtest.engine | fvg_scalp: 147 trades, 31 ambiguous bars, 0 forced session-end exits
